,Código,Descrição,CNPJ/CPF,valor_empenhado,valor_liquidado,valor_pago,cnpj,mes,mes_int,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,razao_social,uf,cidade,cidade_ibge_id,codigo_ibge,municipio,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
0,359277.0,3MED DISTRIBUIDORA DE MEDICAMENTOS LTDA.,29.043.834/0001-66,5507.88,0.0,0.0,29043834000166,janeiro,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3MED DISTRIBUIDORA DE MEDICAMENTOS LTDA.,RS,Erechim,4307005.0,4307005.0,Erechim,-27.6364,-52.2697,0.0,43.0,8637.0,54.0,America/Sao_Paulo
1,359612.0,51.140.560 IVANETE TERESINHA LUFT BALDISSERA,51.140.560/0001-82,5980.0,0.0,0.0,51140560000182,janeiro,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,51.140.560 IVANETE TERESINHA LUFT BALDISSERA,RS,Guaporé,4309407.0,4309407.0,Guaporé,-28.8399,-51.8895,0.0,43.0,8687.0,54.0,America/Sao_Paulo
2,359175.0,A M COMERCIO DE PRODUTOS DE LIMPEZA LTDA,45.212.009/0001-02,2352.64,0.0,0.0,45212009000102,janeiro,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,A M COMERCIO DE PRODUTOS DE LIMPEZA LTDA,RS,Sertão,4320503.0,4320503.0,Sertão,-27.9798,-52.2588,0.0,43.0,8911.0,54.0,America/Sao_Paulo
3,326093.0,A. ROSSATTO FONOAUDIOLOGIA,33.811.873/0001-33,4944.6,0.0,0.0,33811873000133,janeiro,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,A. ROSSATTO FONOAUDIOLOGIA,RS,Serafina Corrêa,4320404.0,4320404.0,Serafina Corrêa,-28.7126,-51.9352,0.0,43.0,8909.0,54.0,America/Sao_Paulo
4,4204.0,A.A.F. LABORATÓRIO DE ANÁLISES CLÍNICAS LTDA,04.567.872/0001-97,80000.0,0.0,0.0,04567872000197,janeiro,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,A.A.F. LABORATORIO DE ANALISES CLINICAS LTDA.,RS,Serafina Corrêa,4320404.0,4320404.0,Serafina Corrêa,-28.7126,-51.9352,0.0,43.0,8909.0,54.0,America/Sao_Paulo
5,3259.0,ACEDATA COM E ASSISTENCIA DE EQUIP PARA ESCRITORIO,94.221.116/0001-02,4268.63,0.0,0.0,94221116000102,janeiro,1,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,,,,,ACEDATA COM E ASSISTENCIA DE EQUIP PARA ESCRITORIO LTDA,RS,Caxias do Sul,4305108.0,4305108.0,Caxias do Sul,-29.1629,-51.1792,0.0,43.0,8599.0,54.0,America/Sao_Paulo
6,4584.0,ACM AUTOMOTIVA  COM PECAS LTDA,00.737.591/0001-84,180.0,0.0,0.0,00737591000184,janeiro,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,ACM AUTOMOTIVA COMERCIO DE PECAS LTDA,RS,Serafina Corrêa,4320404.0,4320404.0,Serafina Corrêa,-28.7126,-51.9352,0.0,43.0,8909.0,54.0,America/Sao_Paulo
7,321410.0,ADIRLEI JOSE STEFANELLO - ME,22.896.793/0001-01,2000.0,0.0,0.0,22896793000101,janeiro,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,ADIRLEI JOSE STEFANELLO,RS,Nova Prata,4313300.0,4313300.0,Nova Prata,-28.7799,-51.6113,0.0,43.0,8769.0,54.0,America/Sao_Paulo
8,325960.0,ADRIANA COLET,31.718.185/0001-06,2400.0,0.0,0.0,31718185000106,janeiro,1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,ADRIANA COLET,RS,Casca,4304903.0,4304903.0,Casca,-28.5605,-51.9815,0.0,43.0,8595.0,54.0,America/Sao_Paulo
9,37830.0,AFC - SERVICOS DE TERRAPLENAGEM LTDA,04.926.264/0001-21,90740.0,65961.0,0.0,04926264000121,janeiro,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,AFC-SERVICOS DE TERRAPLENAGEM LTDA.,RS,Serafina Corrêa,4320404.0,4320404.0,Serafina Corrêa,-28.7126,-51.9352,0.0,43.0,8909.0,54.0,America/Sao_Paulo
